WARNING: unclocked_ro_mem.sv:28: $readmemh(init.mem): Not enough words in the file for the requested range [0:255].
VCD info: dumpfile simulation_results.vcd opened for output.
Starting system testbench...
pc=0x00000000, instr=0x003100b3 (R-type):  add x1, x2, x3
pc=0x00000004, instr=0x00bf42b3 (R-type):  xor x5, x30, x11
pc=0x00000008, instr=0x00d17213 (I-type ALU):  andi x4, x2, 13
pc=0x0000000c, instr=0x00f4e493 (I-type ALU):  ori x9, x9, 15
pc=0x00000010, instr=0x00000000 (other)
pc=0x00000014, instr=0x00000000 (other)
pc=0x00000018, instr=0x00000000 (other)
pc=0x0000001c, instr=0x00000000 (other)
pc=0x00000020, instr=0x00000000 (other)
pc=0x00000024, instr=0x00000000 (other)
pc=0x00000028, instr=0x00000000 (other)
pc=0x0000002c, instr=0x00000000 (other)
pc=0x00000030, instr=0x00000000 (other)
pc=0x00000034, instr=0x00000000 (other)
pc=0x00000038, instr=0x00000000 (other)
pc=0x0000003c, instr=0x00000000 (other)
pc=0x00000040, instr=0x00000000 (other)
pc=0x00000044, instr=0x00000000 (other)
pc=0x00000048, instr=0x00000000 (other)
pc=0x0000004c, instr=0x00000000 (other)
pc=0x00000050, instr=0x00000000 (other)
pc=0x00000054, instr=0x00000000 (other)
pc=0x00000058, instr=0x00000000 (other)
pc=0x0000005c, instr=0x00000000 (other)
pc=0x00000060, instr=0x00000000 (other)
pc=0x00000064, instr=0x00000000 (other)
pc=0x00000068, instr=0x00000000 (other)
pc=0x0000006c, instr=0x00000000 (other)
pc=0x00000070, instr=0x00000000 (other)
pc=0x00000074, instr=0x00000000 (other)
pc=0x00000078, instr=0x00000000 (other)
pc=0x0000007c, instr=0x00000000 (other)
pc=0x00000080, instr=0x00000000 (other)
pc=0x00000084, instr=0x00000000 (other)
pc=0x00000088, instr=0x00000000 (other)
pc=0x0000008c, instr=0x00000000 (other)
pc=0x00000090, instr=0x00000000 (other)
pc=0x00000094, instr=0x00000000 (other)
pc=0x00000098, instr=0x00000000 (other)
pc=0x0000009c, instr=0x00000000 (other)
pc=0x000000a0, instr=0x00000000 (other)
pc=0x000000a4, instr=0x00000000 (other)
pc=0x000000a8, instr=0x00000000 (other)
pc=0x000000ac, instr=0x00000000 (other)
pc=0x000000b0, instr=0x00000000 (other)
pc=0x000000b4, instr=0x00000000 (other)
pc=0x000000b8, instr=0x00000000 (other)
pc=0x000000bc, instr=0x00000000 (other)
pc=0x000000c0, instr=0x00000000 (other)
system_tb.sv:36: $finish called at 505 (1s)
pc=0x000000c4, instr=0x00000000 (other)
